epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1847,2.16817,8.90508,1.1059,0.00026,0.07143,0.00015,5e-05,1.68505,7.29398,0.81284,0.00013336,0.00013336,0.00013336
2,78.2815,2.11598,5.81277,1.05225,0.00282,0.6369,0.00242,0.00113,1.4895,6.05486,0.8243,0.000269362,0.000269362,0.000269362
3,118.173,2.05974,5.42324,1.03405,0,0,0,0,1.50911,5.96662,0.80372,0.000390511,0.000390511,0.000390511
4,158.589,2.04667,4.21061,1.02403,0,0,0,0,1.65049,6.15897,0.82687,0.000496808,0.000496808,0.000496808
5,198.106,1.9458,4.08278,0.99486,0,0,0,0,1.61184,6.22463,0.82018,0.000588251,0.000588251,0.000588251
6,234.893,1.82404,3.47304,0.9683,0.00038,0.14286,0.00103,0.00074,1.36193,5.822,0.75106,0.000664841,0.000664841,0.000664841
7,271.362,1.71425,3.25251,0.94651,0.00036,0.14286,0.07294,0.03649,1.43185,5.59362,0.75995,0.000726579,0.000726579,0.000726579
8,307.449,1.7526,3.24984,0.94014,0.00212,0.35119,0.12117,0.04469,1.6083,5.3628,0.77715,0.000773463,0.000773463,0.000773463
9,344.755,1.75016,2.87739,1.03004,0.00449,0.91667,0.62017,0.3466,1.50762,4.82658,0.77603,0.000805494,0.000805494,0.000805494
10,381.145,1.64389,2.56862,0.94518,0.00466,0.95833,0.69658,0.39076,1.53445,4.70123,0.76357,0.000822673,0.000822673,0.000822673
11,417.253,1.55018,2.64719,0.96554,0.68991,0.3099,0.73458,0.3655,1.60473,4.42287,0.78906,0.000824998,0.000824998,0.000824998
12,454.755,1.62999,2.78012,1.01192,0.92553,0.29167,0.78707,0.4569,1.5444,4.11094,0.78273,0.000759318,0.000759318,0.000759318
13,493.67,1.6115,2.55765,0.92702,0.69088,0.83062,0.7615,0.36339,1.70535,3.48804,0.80192,0.000676802,0.000676802,0.000676802
14,533.053,1.55609,2.42515,0.97021,0.69524,0.73214,0.78498,0.4016,1.59419,3.17936,0.78752,0.000594286,0.000594286,0.000594286
15,569.773,1.5968,2.49606,0.93877,0.66697,0.85714,0.79901,0.39854,1.61508,2.86451,0.78484,0.000511769,0.000511769,0.000511769
16,604.524,1.50723,2.40782,0.90399,0.68119,0.90278,0.78898,0.37958,1.56512,2.69655,0.79422,0.000429253,0.000429253,0.000429253
17,639.427,1.38818,2.20976,0.90487,0.65747,0.93802,0.81533,0.47106,1.33607,2.59419,0.76182,0.000346736,0.000346736,0.000346736
18,675.101,1.43299,2.1272,0.92899,0.62176,0.94336,0.76521,0.46562,1.29802,2.54706,0.75484,0.00026422,0.00026422,0.00026422
19,710.253,1.38875,2.32097,0.9105,0.68909,0.82243,0.75386,0.47037,1.25838,2.46005,0.75305,0.000181703,0.000181703,0.000181703
20,745.149,1.37781,2.23078,0.89533,0.71463,0.8353,0.75644,0.44865,1.30823,2.49513,0.7546,9.91865e-05,9.91865e-05,9.91865e-05
